sample,sex,hap1,hap2
HG00350,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00350/assemblies/HG00350_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00350/assemblies/HG00350_hap2_hprc_r2_v1.0.1.fa.gz
HG00408,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00408/assemblies/HG00408_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00408/assemblies/HG00408_mat_hprc_r2_v1.0.1.fa.gz
HG00423,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00423/assemblies/HG00423_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00423/assemblies/HG00423_mat_hprc_r2_v1.0.1.fa.gz
HG00438,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00438/assemblies/HG00438_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00438/assemblies/HG00438_mat_hprc_r2_v1.0.1.fa.gz
HG005,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG005/assemblies/HG005_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG005/assemblies/HG005_mat_hprc_r2_v1.0.1.fa.gz
HG00544,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00544/assemblies/HG00544_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00544/assemblies/HG00544_mat_hprc_r2_v1.0.1.fa.gz
HG00558,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00558/assemblies/HG00558_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00558/assemblies/HG00558_mat_hprc_r2_v1.0.1.fa.gz
HG00597,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00597/assemblies/HG00597_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00597/assemblies/HG00597_mat_hprc_r2_v1.0.1.fa.gz
HG00609,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00609/assemblies/HG00609_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00609/assemblies/HG00609_mat_hprc_r2_v1.0.1.fa.gz
HG00621,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00621/assemblies/HG00621_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00621/assemblies/HG00621_mat_hprc_r2_v1.0.1.fa.gz
HG00639,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00639/assemblies/HG00639_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00639/assemblies/HG00639_mat_hprc_r2_v1.0.1.fa.gz
HG00642,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00642/assemblies/HG00642_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00642/assemblies/HG00642_mat_hprc_r2_v1.0.1.fa.gz
HG00658,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00658/assemblies/HG00658_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00658/assemblies/HG00658_mat_hprc_r2_v1.0.1.fa.gz
HG00673,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00673/assemblies/HG00673_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG00673/assemblies/HG00673_mat_hprc_r2_v1.0.1.fa.gz
