sample,sex,hap1,hap2
HG02155,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02155/assemblies/HG02155_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02155/assemblies/HG02155_hap2_hprc_r2_v1.0.1.fa.gz
HG02165,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02165/assemblies/HG02165_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02165/assemblies/HG02165_hap2_hprc_r2_v1.0.1.fa.gz
HG02178,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02178/assemblies/HG02178_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02178/assemblies/HG02178_hap2_hprc_r2_v1.0.1.fa.gz
HG02257,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02257/assemblies/HG02257_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02257/assemblies/HG02257_mat_hprc_r2_v1.0.1.fa.gz
HG02258,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02258/assemblies/HG02258_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02258/assemblies/HG02258_mat_hprc_r2_v1.0.1.fa.gz
HG02273,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02273/assemblies/HG02273_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02273/assemblies/HG02273_hap2_hprc_r2_v1.0.1.fa.gz
HG02280,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02280/assemblies/HG02280_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02280/assemblies/HG02280_mat_hprc_r2_v1.0.1.fa.gz
HG02293,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02293/assemblies/HG02293_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02293/assemblies/HG02293_mat_hprc_r2_v1.0.1.fa.gz
HG02300,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02300/assemblies/HG02300_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02300/assemblies/HG02300_mat_hprc_r2_v1.0.1.fa.gz
HG02391,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02391/assemblies/HG02391_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02391/assemblies/HG02391_hap2_hprc_r2_v1.0.1.fa.gz
HG02392,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02392/assemblies/HG02392_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02392/assemblies/HG02392_hap2_hprc_r2_v1.0.1.fa.gz
HG02451,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02451/assemblies/HG02451_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02451/assemblies/HG02451_mat_hprc_r2_v1.0.1.fa.gz
HG02486,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02486/assemblies/HG02486_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02486/assemblies/HG02486_mat_hprc_r2_v1.0.1.fa.gz
HG02514,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02514/assemblies/HG02514_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02514/assemblies/HG02514_mat_hprc_r2_v1.0.1.fa.gz
HG02523,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02523/assemblies/HG02523_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02523/assemblies/HG02523_mat_hprc_r2_v1.0.1.fa.gz
HG02559,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02559/assemblies/HG02559_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02559/assemblies/HG02559_mat_hprc_r2_v1.0.1.fa.gz
HG02572,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02572/assemblies/HG02572_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02572/assemblies/HG02572_mat_hprc_r2_v1.0.1.fa.gz
HG02583,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02583/assemblies/HG02583_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02583/assemblies/HG02583_hap2_hprc_r2_v1.0.1.fa.gz
HG02602,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02602/assemblies/HG02602_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02602/assemblies/HG02602_mat_hprc_r2_v1.0.1.fa.gz
HG02615,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02615/assemblies/HG02615_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02615/assemblies/HG02615_mat_hprc_r2_v1.0.1.fa.gz
HG02622,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02622/assemblies/HG02622_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02622/assemblies/HG02622_mat_hprc_r2_v1.0.1.fa.gz
HG02630,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02630/assemblies/HG02630_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02630/assemblies/HG02630_mat_hprc_r2_v1.0.1.fa.gz
HG02647,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02647/assemblies/HG02647_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02647/assemblies/HG02647_mat_hprc_r2_v1.0.1.fa.gz
HG02668,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02668/assemblies/HG02668_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02668/assemblies/HG02668_mat_hprc_r2_v1.0.1.fa.gz
HG02698,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02698/assemblies/HG02698_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02698/assemblies/HG02698_mat_hprc_r2_v1.0.1.fa.gz
HG02717,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02717/assemblies/HG02717_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02717/assemblies/HG02717_mat_hprc_r2_v1.0.1.fa.gz
HG02723,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02723/assemblies/HG02723_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02723/assemblies/HG02723_mat_hprc_r2_v1.0.1.fa.gz
HG02735,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02735/assemblies/HG02735_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02735/assemblies/HG02735_mat_hprc_r2_v1.0.1.fa.gz
HG02738,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02738/assemblies/HG02738_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02738/assemblies/HG02738_mat_hprc_r2_v1.0.1.fa.gz
HG02809,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02809/assemblies/HG02809_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02809/assemblies/HG02809_mat_hprc_r2_v1.0.1.fa.gz
HG02818,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02818/assemblies/HG02818_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02818/assemblies/HG02818_mat_hprc_r2_v1.0.1.fa.gz
HG02841,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02841/assemblies/HG02841_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02841/assemblies/HG02841_mat_hprc_r2_v1.0.1.fa.gz
HG02886,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02886/assemblies/HG02886_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02886/assemblies/HG02886_mat_hprc_r2_v1.0.1.fa.gz
HG02922,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02922/assemblies/HG02922_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02922/assemblies/HG02922_hap2_hprc_r2_v1.0.1.fa.gz
HG02965,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02965/assemblies/HG02965_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02965/assemblies/HG02965_hap2_hprc_r2_v1.0.1.fa.gz
HG02976,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02976/assemblies/HG02976_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02976/assemblies/HG02976_hap2_hprc_r2_v1.0.1.fa.gz
HG02984,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02984/assemblies/HG02984_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02984/assemblies/HG02984_mat_hprc_r2_v1.0.1.fa.gz
HG03017,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03017/assemblies/HG03017_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03017/assemblies/HG03017_mat_hprc_r2_v1.0.1.fa.gz
HG03041,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03041/assemblies/HG03041_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03041/assemblies/HG03041_mat_hprc_r2_v1.0.1.fa.gz
HG03050,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03050/assemblies/HG03050_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03050/assemblies/HG03050_mat_hprc_r2_v1.0.1.fa.gz
HG03098,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03098/assemblies/HG03098_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03098/assemblies/HG03098_mat_hprc_r2_v1.0.1.fa.gz
HG03130,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03130/assemblies/HG03130_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03130/assemblies/HG03130_hap2_hprc_r2_v1.0.1.fa.gz
HG03139,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03139/assemblies/HG03139_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03139/assemblies/HG03139_hap2_hprc_r2_v1.0.1.fa.gz
HG03195,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03195/assemblies/HG03195_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03195/assemblies/HG03195_hap2_hprc_r2_v1.0.1.fa.gz
HG03209,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03209/assemblies/HG03209_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03209/assemblies/HG03209_hap2_hprc_r2_v1.0.1.fa.gz
HG03225,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03225/assemblies/HG03225_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03225/assemblies/HG03225_hap2_hprc_r2_v1.0.1.fa.gz
HG03239,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03239/assemblies/HG03239_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03239/assemblies/HG03239_mat_hprc_r2_v1.0.1.fa.gz
HG03270,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03270/assemblies/HG03270_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03270/assemblies/HG03270_hap2_hprc_r2_v1.0.1.fa.gz
HG03369,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03369/assemblies/HG03369_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03369/assemblies/HG03369_hap2_hprc_r2_v1.0.1.fa.gz
HG03453,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03453/assemblies/HG03453_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03453/assemblies/HG03453_mat_hprc_r2_v1.0.1.fa.gz
HG03470,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03470/assemblies/HG03470_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03470/assemblies/HG03470_hap2_hprc_r2_v1.0.1.fa.gz
HG03471,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03471/assemblies/HG03471_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03471/assemblies/HG03471_hap2_hprc_r2_v1.0.1.fa.gz
HG03486,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03486/assemblies/HG03486_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03486/assemblies/HG03486_mat_hprc_r2_v1.0.1.fa.gz
HG03516,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03516/assemblies/HG03516_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03516/assemblies/HG03516_mat_hprc_r2_v1.0.1.fa.gz
HG03521,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03521/assemblies/HG03521_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03521/assemblies/HG03521_hap2_hprc_r2_v1.0.1.fa.gz
HG03540,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03540/assemblies/HG03540_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03540/assemblies/HG03540_mat_hprc_r2_v1.0.1.fa.gz
HG03579,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03579/assemblies/HG03579_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03579/assemblies/HG03579_mat_hprc_r2_v1.0.1.fa.gz
HG03583,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03583/assemblies/HG03583_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03583/assemblies/HG03583_hap2_hprc_r2_v1.0.1.fa.gz
HG03654,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03654/assemblies/HG03654_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03654/assemblies/HG03654_mat_hprc_r2_v1.0.1.fa.gz
HG03669,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03669/assemblies/HG03669_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03669/assemblies/HG03669_mat_hprc_r2_v1.0.1.fa.gz
HG03688,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03688/assemblies/HG03688_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03688/assemblies/HG03688_mat_hprc_r2_v1.0.1.fa.gz
HG03704,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03704/assemblies/HG03704_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03704/assemblies/HG03704_mat_hprc_r2_v1.0.1.fa.gz
HG03710,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03710/assemblies/HG03710_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03710/assemblies/HG03710_mat_hprc_r2_v1.0.1.fa.gz
HG03742,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03742/assemblies/HG03742_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03742/assemblies/HG03742_hap2_hprc_r2_v1.0.1.fa.gz
HG03784,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03784/assemblies/HG03784_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03784/assemblies/HG03784_hap2_hprc_r2_v1.0.1.fa.gz
HG03804,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03804/assemblies/HG03804_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03804/assemblies/HG03804_mat_hprc_r2_v1.0.1.fa.gz
HG03816,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03816/assemblies/HG03816_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03816/assemblies/HG03816_mat_hprc_r2_v1.0.1.fa.gz
HG03831,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03831/assemblies/HG03831_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03831/assemblies/HG03831_mat_hprc_r2_v1.0.1.fa.gz
HG03834,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03834/assemblies/HG03834_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03834/assemblies/HG03834_mat_hprc_r2_v1.0.1.fa.gz
HG03874,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03874/assemblies/HG03874_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03874/assemblies/HG03874_hap2_hprc_r2_v1.0.1.fa.gz
HG03927,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03927/assemblies/HG03927_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03927/assemblies/HG03927_mat_hprc_r2_v1.0.1.fa.gz
HG03942,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03942/assemblies/HG03942_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG03942/assemblies/HG03942_mat_hprc_r2_v1.0.1.fa.gz
HG04115,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04115/assemblies/HG04115_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04115/assemblies/HG04115_mat_hprc_r2_v1.0.1.fa.gz
HG04157,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04157/assemblies/HG04157_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04157/assemblies/HG04157_mat_hprc_r2_v1.0.1.fa.gz
HG04160,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04160/assemblies/HG04160_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04160/assemblies/HG04160_mat_hprc_r2_v1.0.1.fa.gz
HG04184,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04184/assemblies/HG04184_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04184/assemblies/HG04184_mat_hprc_r2_v1.0.1.fa.gz
HG04187,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04187/assemblies/HG04187_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04187/assemblies/HG04187_mat_hprc_r2_v1.0.1.fa.gz
HG04199,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04199/assemblies/HG04199_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04199/assemblies/HG04199_mat_hprc_r2_v1.0.1.fa.gz
HG04204,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04204/assemblies/HG04204_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04204/assemblies/HG04204_mat_hprc_r2_v1.0.1.fa.gz
HG04228,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04228/assemblies/HG04228_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG04228/assemblies/HG04228_mat_hprc_r2_v1.0.1.fa.gz
NA18505,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18505/assemblies/NA18505_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18505/assemblies/NA18505_hap2_hprc_r2_v1.0.1.fa.gz
NA18508,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18508/assemblies/NA18508_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18508/assemblies/NA18508_hap2_hprc_r2_v1.0.1.fa.gz
NA18522,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18522/assemblies/NA18522_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18522/assemblies/NA18522_hap2_hprc_r2_v1.0.1.fa.gz
NA18565,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18565/assemblies/NA18565_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18565/assemblies/NA18565_hap2_hprc_r2_v1.0.1.fa.gz
NA18570,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18570/assemblies/NA18570_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18570/assemblies/NA18570_hap2_hprc_r2_v1.0.1.fa.gz
NA18608,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18608/assemblies/NA18608_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18608/assemblies/NA18608_hap2_hprc_r2_v1.0.1.fa.gz
NA18620,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18620/assemblies/NA18620_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18620/assemblies/NA18620_hap2_hprc_r2_v1.0.1.fa.gz
NA18747,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18747/assemblies/NA18747_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18747/assemblies/NA18747_hap2_hprc_r2_v1.0.1.fa.gz
NA18879,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18879/assemblies/NA18879_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18879/assemblies/NA18879_hap2_hprc_r2_v1.0.1.fa.gz
NA18906,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18906/assemblies/NA18906_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18906/assemblies/NA18906_mat_hprc_r2_v1.0.1.fa.gz
NA18952,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18952/assemblies/NA18952_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18952/assemblies/NA18952_hap2_hprc_r2_v1.0.1.fa.gz
NA18971,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18971/assemblies/NA18971_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18971/assemblies/NA18971_hap2_hprc_r2_v1.0.1.fa.gz
NA18974,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18974/assemblies/NA18974_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/NA18974/assemblies/NA18974_hap2_hprc_r2_v1.0.1.fa.gz
