sample_id,reference,file_type,s3_path
HG00128,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00128/variant_calls/GRCh38_no_alt/merged/HG00128.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00133,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/variant_calls/CHM13v2/merged/HG00133.CHM13v2.autosomes.merged.vcf.gz
HG00133,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/variant_calls/CHM13v2/merged/HG00133.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00133,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/variant_calls/GRCh38_no_alt/merged/HG00133.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00133,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00133/variant_calls/GRCh38_no_alt/merged/HG00133.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00140,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/variant_calls/CHM13v2/merged/HG00140.CHM13v2.autosomes.merged.vcf.gz
HG00140,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/variant_calls/CHM13v2/merged/HG00140.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00140,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/variant_calls/GRCh38_no_alt/merged/HG00140.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00140,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/variant_calls/GRCh38_no_alt/merged/HG00140.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00146,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/variant_calls/CHM13v2/merged/HG00146.CHM13v2.autosomes.merged.vcf.gz
HG00146,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/variant_calls/CHM13v2/merged/HG00146.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00146,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/variant_calls/GRCh38_no_alt/merged/HG00146.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00146,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/variant_calls/GRCh38_no_alt/merged/HG00146.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00232,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/variant_calls/CHM13v2/merged/HG00232.CHM13v2.autosomes.merged.vcf.gz
HG00232,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/variant_calls/CHM13v2/merged/HG00232.CHM13v2.autosomes.merged.vcf.gz.tbi
HG00232,GRCh38_no_alt,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/variant_calls/GRCh38_no_alt/merged/HG00232.GRCh38_no_alt.autosomes.merged.vcf.gz
HG00232,GRCh38_no_alt,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/variant_calls/GRCh38_no_alt/merged/HG00232.GRCh38_no_alt.autosomes.merged.vcf.gz.tbi
HG00235,CHM13v2,VCF,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/variant_calls/CHM13v2/merged/HG00235.CHM13v2.autosomes.merged.vcf.gz
HG00235,CHM13v2,TBI,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/variant_calls/CHM13v2/merged/HG00235.CHM13v2.autosomes.merged.vcf.gz.tbi
